Config01:
Algorithm,Config,TotalServers,AvgUtilization,EffectiveUsage,TotalCost,AvgWaitingTime,AvgExecTime,AvgTurnaroundTime
ff,ds-sample-config01.xml,5,100.00,100.00,0.69,35,728,763
bf,ds-sample-config01.xml,5,100.00,100.00,0.69,35,728,763
atl,ds-sample-config01.xml,1,100.00,100.00,0.43,49,728,777
fc,ds-sample-config01.xml,2,100.00,100.00,0.51,1737,728,2465
fafc,ds-sample-config01.xml,5,100.00,100.00,0.75,145,728,873
tos,ds-sample-config01.xml,5,100.00,100.00,0.69,35,728,763

Config02:
Algorithm,Config,TotalServers,AvgUtilization,EffectiveUsage,TotalCost,AvgWaitingTime,AvgExecTime,AvgTurnaroundTime
ff,ds-sample-config02.xml,48,76.26,79.21,588.88,6,6322,6328
bf,ds-sample-config02.xml,47,75.32,78.75,547.50,6,6322,6328
atl,ds-sample-config02.xml,1,100.00,100.00,591.40,655018,6322,661340
fc,ds-sample-config02.xml,5,100.00,100.00,397.09,360170,6322,366492
fafc,ds-sample-config02.xml,50,76.24,78.65,601.60,6,6322,6328
tos,ds-sample-config02.xml,48,77.83,79.66,631.03,5,6322,6327

Config03:
Algorithm,Config,TotalServers,AvgUtilization,EffectiveUsage,TotalCost,AvgWaitingTime,AvgExecTime,AvgTurnaroundTime
ff,ds-sample-config05.xml,61,63.26,62.24,489.38,7,4777,4784
bf,ds-sample-config05.xml,58,64.19,64.56,434.26,7,4777,4784
atl,ds-sample-config05.xml,1,100.00,100.00,360.18,320039,4777,324816
fc,ds-sample-config05.xml,5,99.99,100.00,253.90,227419,4777,232196
fafc,ds-sample-config05.xml,61,63.26,62.24,489.38,7,4777,4784
tos,ds-sample-config05.xml,36,69.78,73.50,555.54,4,4777,4781

Config04:
Algorithm,Config,TotalServers,AvgUtilization,EffectiveUsage,TotalCost,AvgWaitingTime,AvgExecTime,AvgTurnaroundTime
ff,sample-config01.xml,5,100.00,100.00,0.69,35,728,763
bf,sample-config01.xml,5,100.00,100.00,0.69,35,728,763
atl,sample-config01.xml,1,100.00,100.00,0.43,49,728,777
fc,sample-config01.xml,2,100.00,100.00,0.51,1737,728,2465
fafc,sample-config01.xml,5,100.00,100.00,0.75,145,728,873
tos,sample-config01.xml,5,100.00,100.00,0.69,35,728,763
